date,ticker,sentiment,exp_mean_7_days
2024-08-04,NVDA,0.02247715247715248,0.02247715247715248
2024-08-03,NVDA,-0.0014643658810325603,0.01649177288760622
2024-08-02,NVDA,0.06144520602853936,0.027730131172839505
2024-08-01,NVDA,0.16507395382395382,0.06206608683561808
2024-07-31,NVDA,0.16219227994227994,0.08709763511228355
2024-07-30,NVDA,0.0622025197025197,0.0808738562598426
2024-07-18,NVDA,0.19375,0.10909289219488194
2024-07-17,NVDA,0.03588984052346121,0.09079212927702676
2024-07-16,NVDA,0.03495851370851371,0.07683372538489851
2024-07-15,NVDA,0.26025252525252524,0.12268842535180519
2024-05-28,NVDA,0.0674009309431116,0.10886655174963179
2024-05-27,NVDA,0.30277777777777776,0.1573443582566683
2024-04-07,NVDA,0.03699945887445887,0.12725813341111594
2024-04-06,NVDA,0.07256944444444445,0.11358596116944808
2024-04-05,NVDA,0.1684439620585934,0.1273004613917344
2024-04-04,NVDA,0.07892817059483727,0.11520738869251011
2024-02-16,NVDA,0.13232081528096537,0.11948574533962392
2024-02-15,NVDA,0.013503907358074023,0.09299028584423644
2023-12-27,NVDA,0.09661578187893977,0.09389665985291228
2023-12-26,NVDA,0.11088474025974025,0.09814367995461927
2023-12-25,NVDA,0.28847402597402594,0.14572626645947095
2023-12-24,NVDA,0.21553030303030304,0.16317727560217898
2023-11-06,NVDA,0.10202958972845337,0.14789035413374757
2023-11-04,NVDA,-0.13333333333333333,0.07758443226697734
2023-11-03,NVDA,0.09023242435174252,0.08074643028816864
2023-09-16,NVDA,0.02454545454545454,0.06669618635249011
2023-09-15,NVDA,0.0710864357864358,0.06779374871097653
2023-09-14,NVDA,0.15809364654952887,0.09036872317061462
2023-09-13,NVDA,0.0,0.06777654237796096
2023-07-27,NVDA,0.12584016740834925,0.08229244863555804
2023-07-26,NVDA,0.11267992424242423,0.08988931753727458
2023-07-25,NVDA,-0.00555555555555556,0.06602809926406705
2023-06-06,NVDA,-0.018171390241702747,0.0449782268876246
2023-06-05,NVDA,0.19598587061087064,0.0827301378184361
2023-06-04,NVDA,0.12694128787878786,0.09378292533352404
2023-06-03,NVDA,0.18938888888888888,0.11768441622236525
2023-04-16,NVDA,-0.095,0.06451331216677395
2023-04-15,NVDA,0.2654320987654321,0.11474300881643848
2023-04-14,NVDA,0.12936507936507935,0.11839852645359869
2023-04-13,NVDA,0.20400778619528617,0.13980084138902055
2023-04-12,NVDA,0.04495964105339105,0.11609054130511318
2023-04-11,NVDA,-0.005899027872712078,0.08559314901065686
2023-04-10,NVDA,-0.05,0.05169486175799265
2023-02-24,NVDA,-0.019100572047000615,0.033996003306744335
2023-02-23,NVDA,0.12424316365756291,0.05655779339444898
2023-02-22,NVDA,0.08134646747927998,0.06275496191565673
2023-01-04,NVDA,0.06500438054009482,0.06331731657176626
2023-01-03,NVDA,0.1310953216374269,0.08026181783818143
2023-01-02,NVDA,0.3021212121212121,0.1357266664089391
2023-01-01,NVDA,0.1,0.12679499980670433
2022-12-31,NVDA,0.03833333333333333,0.10467958318836158
2022-12-30,NVDA,0.08672438672438673,0.10019078407236787
2022-12-29,NVDA,0.3958333333333333,0.17410142138760923
2022-12-28,NVDA,0.274,0.19907606604070693
2022-11-14,NVDA,0.09160178170594836,0.1722074949570173
2022-11-13,NVDA,0.5,0.254155621217763
2022-11-12,NVDA,0.16666666666666666,0.2322833825799889
2022-11-11,NVDA,0.14696336996336995,0.21095337942583414
2022-11-10,NVDA,0.2058333333333333,0.20967336790270893
2022-11-09,NVDA,0.06914381914381913,0.1745409807129865
2022-11-08,NVDA,0.09225589225589224,0.15396970859871292
2022-09-24,NVDA,0.3394097222222222,0.20032971200459024
2022-09-23,NVDA,0.13078703703703706,0.18294404326270194
2022-09-22,NVDA,0.2620748299319728,0.20272673993001966
2022-09-21,NVDA,0.1626483084816418,0.1927071320679252
2022-09-20,NVDA,0.12676682794329852,0.17622205603676852
